anio,num_mes,departamento,provincia,distrito,sector,area,categoria,descripcion,cantidad,fecha_data
2020,1,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),48,27/06/2025
2020,2,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),38,27/06/2025
2020,3,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),66,27/06/2025
2020,4,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),58,27/06/2025
2020,5,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),49,27/06/2025
2020,6,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),35,27/06/2025
2020,7,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),43,27/06/2025
2020,8,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),42,27/06/2025
2020,9,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),41,27/06/2025
2020,10,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),50,27/06/2025
2020,11,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),52,27/06/2025
2020,12,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),33,27/06/2025
2020,1,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),18,27/06/2025
2020,2,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),20,27/06/2025
2020,3,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),24,27/06/2025
2020,4,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),35,27/06/2025
2020,5,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),19,27/06/2025
2020,6,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),16,27/06/2025
2020,7,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),12,27/06/2025
2020,8,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),19,27/06/2025
2020,9,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),22,27/06/2025
2020,10,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),12,27/06/2025
2020,11,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),14,27/06/2025
2020,12,Lambayeque,Chiclayo,La Victoria,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),16,27/06/2025
2020,1,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),6,27/06/2025
2020,2,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),11,27/06/2025
2020,3,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),6,27/06/2025
2020,4,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),7,27/06/2025
2020,5,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),14,27/06/2025
2020,6,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),13,27/06/2025
2020,7,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),11,27/06/2025
2020,8,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),12,27/06/2025
2020,9,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),7,27/06/2025
2020,10,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),9,27/06/2025
2020,11,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),9,27/06/2025
2020,12,Lambayeque,Chiclayo,Pimentel,MINSA,urbano,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),5,27/06/2025
2020,1,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,290,27/06/2025
2020,2,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,314,27/06/2025
2020,3,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,304,27/06/2025
2020,4,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,247,27/06/2025
2020,5,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,184,27/06/2025
2020,6,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,182,27/06/2025
2020,7,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,185,27/06/2025
2020,8,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,211,27/06/2025
2020,9,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,237,27/06/2025
2020,10,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,245,27/06/2025
2020,11,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,261,27/06/2025
2020,12,Lambayeque,Chiclayo,Chiclayo,MINSA,urbano,II-2,Hospital de mediana complejidad,233,27/06/2025
2020,1,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,2,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),5,27/06/2025
2020,3,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,4,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,5,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,6,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,7,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,8,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,9,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,10,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,11,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,12,Lambayeque,Chiclayo,Cayalti,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),0,27/06/2025
2020,1,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),3,27/06/2025
2020,2,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),7,27/06/2025
2020,3,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),13,27/06/2025
2020,4,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),6,27/06/2025
2020,5,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),13,27/06/2025
2020,6,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),6,27/06/2025
2020,7,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),3,27/06/2025
2020,8,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),8,27/06/2025
2020,9,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),8,27/06/2025
2020,10,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),7,27/06/2025
2020,11,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),2,27/06/2025
2020,12,Lambayeque,Chiclayo,Chongoyape,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),1,27/06/2025
2020,1,Lambayeque,Chiclayo,JLO,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),77,27/06/2025
2020,2,Lambayeque,Chiclayo,JLO,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),51,27/06/2025
2020,3,Lambayeque,Chiclayo,JLO,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),83,27/06/2025
2020,4,Lambayeque,Chiclayo,JLO,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),98,27/06/2025
2020,5,Lambayeque,Chiclayo,JLO,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),99,27/06/2025
2020,6,Lambayeque,Chiclayo,JLO,MINSA,rural,I-3,Centro de salud con mayor capacidad (medico y laboratorio basico),52,27/06/2025
